categoria,tituloLibro,autorLibro,formato,precio,estatus,separador
Oferta,Promocion 2x1,Homero,Largo (PL),1500,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
Oferta,Oferta 1: 5% Libro de Austen,Jean Austen,Medio (PM),4000,Disponible,
